"id","title","title_en","author","author_en","description","description_en","rating","age","age_en","genre","genre_en","date","completed","free","link"
756056,"가난을 등에 업은 소녀","The girl with poverty on her back","B급달궁 / 오은지","B-class palace / Oh Eun-ji","흔하디 흔한 재벌후계자와 캔디도 울고 갈 박복한 가난소녀의 파란만장 동거기!인기작 <다세포소녀>의 웹툰판!","The turbulent cohabitation story of a common heir to a conglomerate and a poor girl who would make even Candy cry! The webtoon version of the popular <Multi-Cell Girl>!",9.13,"전체연령가","all ages","스토리, 로맨스","story, romance","2020.10.19 00:00",TRUE,TRUE,"https://comic.naver.com/webtoon/list?titleId=756056"
670144,"가담항설","Theory of participation","랑또","Langto","이번 주인공은 돌이다!돌이지만 동료도 모으고 악당도 물리친다!랑또 작가표 동양 판타지 소년만화","The main character this week is a stone! Although he is a stone, he gathers allies and defeats villains! An oriental fantasy boy's comic by Langto",9.98,"12세 이용가","12+","스토리, 판타지","story, fantasy","2020.10.07 23:00",TRUE,TRUE,"https://comic.naver.com/webtoon/list?titleId=670144"
732071,"가령의 정체불명 이야기","The story of an unknown identity","가령","chamberlain","어느 날... 인어가 내게 말을 걸어왔다. 눈을 떠보니 총구가 있었다. 그리고 몸이 연기처럼 사라지기 시작했다. 판타지보다 비현실적인 우리의 회색빛 이야기.","One day... a mermaid spoke to me. When I opened my eyes, there was a gun. And then my body started to disappear like smoke. Our gray story, more unrealistic than fantasy.",9.95,"15세 이용가","15+","옴니버스, 드라마","omnibus, drama","2020.02.03 23:22",TRUE,TRUE,"https://comic.naver.com/webtoon/list?titleId=732071"
703844,"가비지타임","Garbage Time","2사장","2nd President","한국 최초 한국형 고교스포츠 웹툰!열혈따윈 개나 줘, 낙오자들 뿐인 농구부의 운명은?","Korea's first Korean-style high school sports webtoon! Forget about passion, what will be the fate of the basketball team full of losers?",9.96,"전체연령가","all ages","스토리, 스포츠","story, sports","2022.12.24 22:57",FALSE,FALSE,"https://comic.naver.com/webtoon/list?titleId=703844"
785701,"가상&RPG","Virtual & RPG","주다현","Joo Da-hyun","""사람은 좀 죽여도 싸우는건 싫어해요."" 게임에서조차 집 바깥을 나가지 않는 '제리'. 전투는 한 번도 안해봤는데, 에픽 무기가 귀속되었다? 가상현실 액션 RPG 모브사가 온라인. 그 고인물들의 군상극.","""I hate fighting even if I kill people."" Jerry, who doesn't leave the house even in the game. He's never been in a fight, but he's got an epic weapon? Mob Saga Online, a virtual reality action RPG. A drama of those old-timers.",9.91,"12세 이용가","12+","스토리, 판타지","story, fantasy","2022.10.19 23:00",FALSE,FALSE,"https://comic.naver.com/webtoon/list?titleId=785701"
729963,"가슴털 로망스","Chest hair romance","갸오오","Gyaoooo","최고의 상남자가 되기 위한 여행을 떠나는 장호풍과 친구들명언범벅 눈물범벅 의리범벅 개그만화!","A gag comic full of quotes, tears, and loyalty about Jang Ho-pung and his friends who set out on a journey to become the best men in the world!",9.93,"전체연령가","all ages","스토리, 개그","story, gag","2022.01.27 22:58",TRUE,FALSE,"https://comic.naver.com/webtoon/list?titleId=729963"
799793,"가우스전자","Gauss Electronics","곽백수","Kwak Baek-su","다국적 문어발 기업 가우스전자 마케팅3부 이야기곽백수 작가가 선보이는 본격 직장인 만화!","The story of marketing of Gauss Electronics, a multinational octopus company, part 3. A full-fledged office worker comic presented by Baek-su Kwak!",9.78,"전체연령가","all ages","에피소드, 일상","episode, daily","2022.09.21 15:00",TRUE,TRUE,"https://comic.naver.com/webtoon/list?titleId=799793"
790239,"가족같은 XX","XX like family","서우현","Seo Woo-hyun","탑 배우 한나나는 우연히 갈 곳 없는 고등학생 유성우를 집에 들인다.아슬아슬한 동거가 시작된 가운데, 갑자기 좋아하던 선배 이한이 다가오기 시작하는데..?!가족 같은 남자와 가족이 되고 싶은 남자, 누가 진짜 가족이 될까?","Top actress Han Na-na accidentally brings home a high school student named Yoo Seong-woo who has nowhere to go. As their precarious cohabitation begins, her senior Lee Han, whom she has a crush on, suddenly starts approaching her...?! A man who feels like family to her and a man who wants to be family, who will become her real family?",9.94,"15세 이용가","15+","스토리, 로맨스","story, romance","2022.12.14 23:00",FALSE,FALSE,"https://comic.naver.com/webtoon/list?titleId=790239"
753385,"가족의 초상","Family Portrait","김승택","Kim Seung-taek","할머니의 죽음과 그로 인한 가족들의 변화를 겪어 나가면서, 당연하게만 생각했던 가족의 소중함을 깨닫게 되는 이야기이다.","This is a story about a woman who experiences the death of her grandmother and the resulting changes in her family, and comes to realize the importance of family that she had taken for granted.",9.88,"12세 이용가","12+","에피소드, 드라마","episode, drama","2020.09.28 00:00",TRUE,TRUE,"https://comic.naver.com/webtoon/list?titleId=753385"
788167,"가짜 동맹","fake alliance","케냠","Kenyam","소꿉친구와 하루아침에 커플이 되었다?!통제가 강한 부모님들을 안심 시키고 자유롭게 생활하기 위해 동맹을 맺은 두 모범생 ‘윤세이’와 ‘김재하’.동맹을 들킬 위기를 모면하기 위한 두 사람의 가짜 커플 행세가 시작된다!","Childhood friends become a couple overnight?! Two model students, Yoon Se-yi and Kim Jae-ha, form an alliance to reassure their controlling parents and live freely. The two begin to pretend to be a fake couple in order to avoid the crisis of having their alliance discovered!",9.98,"12세 이용가","12+","스토리, 로맨스","story, romance","2022.12.27 22:56",FALSE,FALSE,"https://comic.naver.com/webtoon/list?titleId=788167"
